userId,current_lat,current_lng,visited_type_counts,candidate_lat,candidate_lng,candidate_id,candidate_type,label,dist_to_candidate,pref_tourist_attraction,pref_restaurant,pref_shopping,pref_park,pref_cultural_site,pref_accommodation,pref_entertainment
u1,11.190788,107.3484014,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 3, 'PARK': 5, 'CULTURAL_SITE': 3, 'ACCOMMODATION': 0, 'ENTERTAINMENT': 1}",11.9326659,108.4264109,loc299,ACCOMMODATION,1,1.308620380629404,2,2,3,5,3,0,1
u1,11.190788,107.3484014,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 3, 'PARK': 5, 'CULTURAL_SITE': 3, 'ACCOMMODATION': 0, 'ENTERTAINMENT': 1}",11.9011774,108.4488444,loc128,TOURIST_ATTRACTION,0,1.3098197951937347,2,2,3,5,3,0,1
u1,11.190788,107.3484014,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 3, 'PARK': 5, 'CULTURAL_SITE': 3, 'ACCOMMODATION': 0, 'ENTERTAINMENT': 1}",11.947158,108.4617665,loc138,RESTAURANT,0,1.3459856696109365,2,2,3,5,3,0,1
u1,11.190788,107.3484014,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 3, 'PARK': 5, 'CULTURAL_SITE': 3, 'ACCOMMODATION': 0, 'ENTERTAINMENT': 1}",16.0779814,108.218442,loc269,RESTAURANT,0,4.964033639556837,2,2,3,5,3,0,1
u2,10.3588512,107.0901666,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 1, 'PARK': 3, 'CULTURAL_SITE': 4, 'ACCOMMODATION': 3, 'ENTERTAINMENT': 1}",10.3459633,107.0904574,loc309,PARK,1,0.012891180359068085,2,2,1,3,4,3,1
u2,10.3588512,107.0901666,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 1, 'PARK': 3, 'CULTURAL_SITE': 4, 'ACCOMMODATION': 3, 'ENTERTAINMENT': 1}",16.0632426,108.2055438,loc212,PARK,0,5.812413228829638,2,2,1,3,4,3,1
u2,10.3588512,107.0901666,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 1, 'PARK': 3, 'CULTURAL_SITE': 4, 'ACCOMMODATION': 3, 'ENTERTAINMENT': 1}",10.3485605,107.0776613,loc243,ENTERTAINMENT,0,0.016195092916684112,2,2,1,3,4,3,1
u2,10.3588512,107.0901666,"{'TOURIST_ATTRACTION': 2, 'RESTAURANT': 2, 'SHOPPING': 1, 'PARK': 3, 'CULTURAL_SITE': 4, 'ACCOMMODATION': 3, 'ENTERTAINMENT': 1}",16.0514279,108.2430263,loc268,RESTAURANT,0,5.808142127502301,2,2,1,3,4,3,1
u3,16.074127,108.2459307,"{'TOURIST_ATTRACTION': 4, 'RESTAURANT': 1, 'SHOPPING': 0, 'PARK': 3, 'CULTURAL_SITE': 3, 'ACCOMMODATION': 1, 'ENTERTAINMENT': 1}",16.0708787,108.198007,loc278,RESTAURANT,1,0.048033659808303555,4,1,0,3,3,1,1
u3,16.074127,108.2459307,"{'TOURIST_ATTRACTION': 4, 'RESTAURANT': 1, 'SHOPPING': 0, 'PARK': 3, 'CULTURAL_SITE': 3, 'ACCOMMODATION': 1, 'ENTERTAINMENT': 1}",16.0706008,108.2097711,loc210,RESTAURANT,0,0.036331126580390366,4,1,0,3,3,1,1
